Dataset,Learning Rate,Dropout,Units,Batch Size,F1 Avg,F1 Std,Recall Avg,Recall Std,Precision Avg,Precision Std,Accuracy Avg,Accuracy Std,Iterations
Unsampled,0.01,0.1,64,32,0.5166666666666666,0.4221308380637979,0.496,0.405245604541246,0.5391304347826087,0.44048435276222403,0.9990131810812716,0.0006351662973746944,5
Undersampled,0.01,0.1,64,32,0.07800872925488836,0.009769951222271771,0.928,0.01599999999999997,0.04073807289459405,0.005308456067239468,0.9607950941002328,0.004512581721010528,5
Oversampled,0.01,0.1,64,32,0.6147384488248046,0.0984206506345857,0.912,0.016000000000000014,0.4728388907199883,0.11180146666059293,0.9978430957919222,0.000893380109551273,5
SMOTE,0.01,0.1,64,32,0.6560995078718961,0.0421689467616756,0.9200000000000002,1.1102230246251563e-16,0.5116787467851298,0.05136977534301698,0.9982801155987876,0.0003171134666723583,5
Unsampled,0.01,0.2,64,32,0.3428571428571429,0.4199125273342591,0.336,0.4115142767875739,0.35,0.4286607049870561,0.9987453302319024,0.000621566439276772,5
Undersampled,0.01,0.2,64,32,0.06449919540428857,0.012134164436482194,0.944,0.019595917942265388,0.03343486328230183,0.0064873308421707935,0.9495594558398534,0.0119723977245457,5
Oversampled,0.01,0.2,64,32,0.6455869445795794,0.061958729177368076,0.904,0.01959591794226544,0.5057598784194528,0.07515077971648088,0.9982096285331644,0.0004559374534093615,5
SMOTE,0.01,0.2,64,32,0.7105818884161068,0.04478788800707816,0.912,0.016000000000000014,0.5839252603052346,0.05618153029544784,0.9986748431662792,0.00028335449696542875,5
Unsampled,0.01,0.3,64,32,0.3380952380952381,0.41414885533636,0.32799999999999996,0.40191541398657504,0.34891304347826085,0.4273329165300685,0.9987312328187776,0.0006047116540361474,5
Undersampled,0.01,0.3,64,32,0.0646154251993532,0.009788583741398451,0.9440000000000001,0.03199999999999998,0.033477702300455096,0.005242289997859671,0.9507859307817016,0.00715551695503063,5
Oversampled,0.01,0.3,64,32,0.6539782408973922,0.04961098353797249,0.912,0.016000000000000014,0.5129375302976671,0.06121544585143261,0.9982660181856632,0.0004148569526908264,5
SMOTE,0.01,0.3,64,32,0.6967417976288944,0.03380729652172044,0.912,0.016000000000000014,0.5650171775703691,0.04272695649337166,0.9985902586875308,0.00023164413512589965,5
Unsampled,0.01,0.1,32,32,0.6809523809523811,0.3406010427094794,0.6639999999999999,0.3323612492454558,0.6989130434782609,0.3494628608526404,0.9992387396912668,0.0005012021945339049,5
Undersampled,0.01,0.1,32,32,0.05930661361279092,0.0043003345167067575,0.928,0.01599999999999997,0.030638893967881425,0.002306635788321801,0.9478254740255164,0.004190845816582896,5
Oversampled,0.01,0.1,32,32,0.7013601007816803,0.06650428143532479,0.912,0.016000000000000014,0.574496875350534,0.0850080579083562,0.9985902586875308,0.0004524369221366272,5
SMOTE,0.01,0.1,32,32,0.7422282635397389,0.03426438084008892,0.912,0.016000000000000014,0.6283369550285365,0.054662191778706376,0.9988722069500248,0.0002137978556157439,5
Unsampled,0.005,0.2,32,32,0.855952380952381,0.013256581816261952,0.8320000000000001,0.01599999999999997,0.8815217391304347,0.015900803085138887,0.9995065905406358,4.457993459037744e-05,5
Undersampled,0.005,0.2,32,32,0.07229940655211307,0.003441928439185891,0.96,0.02529822128134701,0.037566904130774265,0.0018414867322876073,0.9565094805103264,0.0019174554886495136,5
Oversampled,0.005,0.2,32,32,0.7371822033898305,0.033156189263288734,0.904,0.01959591794226544,0.6232062055591467,0.04154651246784642,0.9988581095369,0.0001805349753276501,5
SMOTE,0.005,0.2,32,32,0.7618056389618383,0.012808582325823764,0.9200000000000002,1.1102230246251563e-16,0.6502533626063037,0.018607530971665915,0.998984986255022,7.188298461399128e-05,5
Unsampled,0.01,0.2,32,32,0.4932238667900093,0.4038420257711636,0.4640000000000001,0.3808201675331809,0.5267645398080181,0.43053586083972223,0.998942694015648,0.0005829582893673069,5
Undersampled,0.01,0.2,32,32,0.0777216053304745,0.005146550567146011,0.9440000000000001,0.019595917942265388,0.04054129508071805,0.0028293831319617805,0.9603016846408684,0.003326929762089557,5
Oversampled,0.01,0.2,32,32,0.6325910049670002,0.02215673088982496,0.8800000000000001,0.025298221281347056,0.4941749208426405,0.023940365675948927,0.9981955311200394,0.00014514175147651846,5
SMOTE,0.01,0.2,32,32,0.7252932455734533,0.032294876106505895,0.904,0.01959591794226544,0.6063578737108148,0.04013969832371548,0.9987876224712766,0.00017494429613014437,5
Unsampled,0.01,0.0,32,32,0.8222646918299091,0.054001255893220745,0.76,0.10119288512538813,0.9133022774327122,0.05354729355014781,0.9994361034750124,0.00011794742038965152,5
Undersampled,0.01,0.0,32,32,0.05580990255671373,0.007099851738415829,0.968,0.03919183588453083,0.028743912940141107,0.0037324818292930172,0.9413124691619088,0.007918505783627138,5
Oversampled,0.01,0.0,32,32,0.7616772038915831,0.04154021291536958,0.912,0.016000000000000014,0.6551708014208014,0.05357588205302678,0.9989849862550224,0.00022110928513933945,5
SMOTE,0.01,0.0,32,32,0.767719298245614,0.056568758334131414,0.8720000000000001,0.02993325909419156,0.6880263157894737,0.07309228620208047,0.9990554733206456,0.0002875319384559304,5
Unsampled,0.005,0.0,32,32,0.8390618955512572,0.026613716452946842,0.7759999999999999,0.04800000000000002,0.9157187434990638,0.016393867197294843,0.9994783957143863,7.188298461397389e-05,5
Undersampled,0.005,0.0,32,32,0.06318613530449138,0.01074240940793379,0.968,0.016000000000000014,0.03269702851173335,0.005726463957154637,0.9473320645661522,0.012447975875638027,5
Oversampled,0.005,0.0,32,32,0.8359009640743388,0.04344232319991199,0.8880000000000001,0.02993325909419156,0.7915033402102367,0.06236013448552623,0.9993797138225136,0.0001859576507827136,5
SMOTE,0.005,0.0,32,32,0.7645081836961704,0.03662357314832985,0.904,0.03200000000000003,0.6637024120895088,0.047991916558221576,0.9990131810812716,0.00017831973836150976,5
Unsampled,0.005,0.1,32,32,0.8583414957102175,0.014840768267002322,0.8240000000000001,0.031999999999999966,0.8980468806555763,0.03688672396993522,0.9995206879537604,5.274768995240111e-05,5
Undersampled,0.005,0.1,32,32,0.07152116123682031,0.006630276412945725,0.96,0.03577708763999662,0.03716333829726204,0.0036120012627415725,0.9556354408965956,0.004936228883168749,5
Oversampled,0.005,0.1,32,32,0.7568501920614596,0.060801947294927876,0.9200000000000002,1.1102230246251563e-16,0.6476190476190475,0.08513028563842495,0.9989285966025234,0.0003713805560673688,5
SMOTE,0.005,0.1,32,32,0.7940050753843857,0.0422543498580467,0.904,0.03200000000000003,0.708808825583019,0.05188440707843858,0.9991682526256432,0.0001912266154402134,5
Unsampled,0.001,0.0,32,32,0.8538668674320847,0.02145840493974991,0.8,0.05656854249492381,0.9209498746867169,0.035547279047514445,0.9995206879537604,5.274768995240111e-05,5
Undersampled,0.001,0.0,32,32,0.10447263227398956,0.009737203372568335,0.992,0.016000000000000014,0.055167174814683986,0.005418132712151312,0.9697469514344116,0.003123587211355412,5
Oversampled,0.001,0.0,32,32,0.8550072568940493,0.019058985743024056,0.8960000000000001,0.01959591794226544,0.8177248677248677,0.02107122513411628,0.9994642983012618,7.188298461397389e-05,5
SMOTE,0.001,0.0,32,32,0.8253997028580825,0.01665570929206579,0.8720000000000001,0.04664761515876241,0.7856891051106846,0.0230577324409986,0.9993515189962644,5.274768995241298e-05,5
Unsampled,0.001,0.1,32,32,0.8670763951300459,0.038705519806353374,0.8160000000000001,0.0649923072370877,0.9300065876152832,0.04489956396645505,0.9995629801931344,0.00012127053312248506,5
Undersampled,0.001,0.1,32,32,0.09939162461511034,0.012527984563045559,0.96,0.025298221281347014,0.052453577403359306,0.006988891155825417,0.9688729118206808,0.003796525224738217,5
Oversampled,0.001,0.1,32,32,0.7898475473051745,0.05002905667011673,0.912,0.016000000000000014,0.7009338076368398,0.07683289507073585,0.9991259603862692,0.0002840550035893524,5
SMOTE,0.001,0.1,32,32,0.8253119429590017,0.017779585283378856,0.8880000000000001,0.02993325909419156,0.7718832891246684,0.02616023605111781,0.9993374215831394,7.188298461397389e-05,5
Unsampled,0.001,0.2,32,32,0.8411212428233705,0.016976961014760136,0.784,0.03199999999999999,0.9095454545454544,0.03626121940941658,0.9994783957143863,5.638965249876726e-05,5
Undersampled,0.001,0.2,32,32,0.10405108169230416,0.011449750979429348,0.952,0.029933259094191512,0.05507173234467587,0.006395242622804814,0.9707478677662648,0.003462630017377043,5
Oversampled,0.001,0.2,32,32,0.7961743194924776,0.016187410709142636,0.9200000000000002,1.1102230246251563e-16,0.7021192714622506,0.02531458047165809,0.9991682526256432,8.220133777182351e-05,5
SMOTE,0.001,0.2,32,32,0.7958021940164185,0.0365198485717505,0.8880000000000001,0.0466476151587624,0.7220072266443234,0.04038759662989587,0.9991964474518924,0.00014514175147651846,5
Unsampled,0.0005,0.2,32,32,0.8297571993224165,0.03579683617818264,0.7440000000000001,0.054258639865002144,0.9433366023755041,0.05349286955947757,0.9994642983012618,0.00010549537990481407,5
Undersampled,0.0005,0.2,32,32,0.135940124443184,0.019269853373786932,0.9200000000000002,1.1102230246251563e-16,0.07351977669881672,0.011271541205520328,0.9789102699654612,0.003424946136955856,5
Oversampled,0.0005,0.2,32,32,0.7887108345555585,0.02839253432436472,0.904,0.01959591794226544,0.7016651605475788,0.04893171185536207,0.9991400577993936,0.00015698214880749864,5
SMOTE,0.0005,0.2,32,32,0.7988300462876734,0.02934431326843589,0.8720000000000001,0.046647615158762416,0.7395539948769028,0.04290020014583154,0.9992246422781421,0.00012609109621482205,5
Unsampled,0.0005,0.1,32,32,0.848658649398705,0.037982406998125134,0.784,0.03199999999999999,0.9251082251082252,0.0468173362237083,0.9995065905406356,0.00012609109621482205,5
Undersampled,0.0005,0.1,32,32,0.11827407178498958,0.011065135083067003,0.9359999999999999,0.019595917942265388,0.0631645127531166,0.006301217374078265,0.9751744554874181,0.0025509696564500195,5
Oversampled,0.0005,0.1,32,32,0.8092777850333028,0.05175210028397557,0.9120000000000001,0.016000000000000014,0.732836229086229,0.0885232221508935,0.9992246422781419,0.0002599434540718409,5
SMOTE,0.0005,0.1,32,32,0.784334870284944,0.03603665963495098,0.8720000000000001,0.046647615158762416,0.7139003353894899,0.04083703699213802,0.9991541552125185,0.0001478549162148786,5
Unsampled,0.001,0.1,32,16,0.8475870058168194,0.0547360026333506,0.776,0.09666436778875659,0.9468944099378882,0.04353195934659379,0.9995206879537605,0.00013667949129251083,5
Undersampled,0.001,0.1,32,16,0.0950071547782739,0.010840560376792001,0.968,0.029933259094191523,0.049994361118795516,0.006047977913875036,0.9670825403538451,0.003827648864237993,5
Oversampled,0.001,0.1,32,16,0.787298030916452,0.04083308728753208,0.9040000000000001,0.03200000000000003,0.7020161782661782,0.07045321210987641,0.9991259603862691,0.00022992185000777438,5
SMOTE,0.001,0.1,32,16,0.7925522659270531,0.03971227238427741,0.8800000000000001,0.04381780460041329,0.7244653630683043,0.06416940899992714,0.9991823500387678,0.00017607663349260207,5
